persona,n_train_clients,config,cv_macro_f1_mean,cv_macro_f1_std,delta_vs_global,shrinkage_weight,shrunk_delta_vs_global,folds_beating_global,is_raw_best,selected_after_guardrails,used_global_fallback
Subscription regulars,586,median_gap|grace=7|short_gate=true,0.4606090840857034,0.010543170612431374,4.9540850357521204e-05,0.6613995485327314,3.276629606039213e-05,1,False,False,True
Subscription regulars,586,median_gap|grace=5|short_gate=true,0.46055954323534587,0.007857227736307155,0.0,0.6613995485327314,0.0,0,False,True,True
Subscription regulars,586,recent3_median_gap|grace=3|short_gate=true,0.45770560166641794,0.022920181805929727,-0.0028539415689279313,0.6613995485327314,-0.001887595665227729,2,False,False,True
Subscription regulars,586,median_gap|grace=3|short_gate=true,0.4526079808278866,0.008772997543982305,-0.007951562407459256,0.6613995485327314,-0.005259159786423391,1,False,False,True
Subscription regulars,586,mean_median_blend|grace=5|short_gate=true,0.45051860259665,0.016596245770667317,-0.010040940638695872,0.6613995485327314,-0.006641073605277405,2,False,False,True
Subscription regulars,586,recent3_median_gap|grace=0|short_gate=true,0.44964299948699954,0.03147347309332491,-0.01091654374834633,0.6613995485327314,-0.007220197106694074,2,False,False,True
Subscription regulars,586,mean_median_blend|grace=7|short_gate=true,0.4485079188359663,0.016021361144713996,-0.012051624399379568,0.6613995485327314,-0.007970938936835696,1,False,False,True
Subscription regulars,586,mean_median_blend|grace=10|short_gate=true,0.4482902422716519,0.010355515273957333,-0.012269300963693996,0.6613995485327314,-0.008114910118199415,1,False,False,True
Subscription regulars,586,trimmed_mean_gap|grace=5|short_gate=true,0.44639337858713546,0.012751115846504256,-0.014166164648210411,0.6613995485327314,-0.009369494902766706,0,False,False,True
Subscription regulars,586,trimmed_mean_gap|grace=10|short_gate=true,0.4453915788607068,0.009433079738767104,-0.015167964374639076,0.6613995485327314,-0.010032084789546838,0,False,False,True
Subscription regulars,586,trimmed_mean_gap|grace=7|short_gate=true,0.444190033266848,0.011144159075743296,-0.016369509968497897,0.6613995485327314,-0.010826786502866555,0,False,False,True
Subscription regulars,586,median_gap|grace=0|short_gate=true,0.44403499975030536,0.026314160222017418,-0.01652454348504051,0.6613995485327314,-0.010929325600715281,2,False,False,True
Subscription regulars,586,mean_median_blend|grace=3|short_gate=true,0.44327524523916517,0.022242877676121427,-0.017284297996180698,0.6613995485327314,-0.011431826891379109,2,False,False,True
Subscription regulars,586,trimmed_mean_gap|grace=3|short_gate=true,0.4422523316319822,0.019893257990040523,-0.018307211603363682,0.6613995485327314,-0.012108381489357922,1,False,False,True
Subscription regulars,586,mean_gap|grace=5|short_gate=true,0.43988365372483146,0.012253878340023406,-0.02067588951051441,0.6613995485327314,-0.01367502398776687,0,False,False,True
