iteration,persona,cadence,grace_days,short_gate,mean_fold_delta,positive_folds,selected
2,Short or lapsed explorer,trimmed_mean_gap,3,True,-0.0016679392386979909,2,
2,Short or lapsed explorer,trimmed_mean_gap,3,False,-0.0019145579107700428,0,
2,Short or lapsed explorer,trimmed_mean_gap,5,True,-0.00136223582574857,2,
2,Short or lapsed explorer,trimmed_mean_gap,5,False,-0.0023281874584703656,0,
2,Short or lapsed explorer,trimmed_mean_gap,7,True,-0.0034747688277271373,2,
2,Short or lapsed explorer,trimmed_mean_gap,7,False,-0.00473687705251793,0,
2,Short or lapsed explorer,trimmed_mean_gap,10,True,-0.0050822486902924345,1,
2,Short or lapsed explorer,trimmed_mean_gap,10,False,-0.00822609267769897,0,
2,Short or lapsed explorer,recent3_median_gap,0,True,-0.0006580177328797676,2,
2,Short or lapsed explorer,recent3_median_gap,0,False,-0.0008425650755904734,2,
2,Short or lapsed explorer,recent3_median_gap,3,True,-0.0015277514002964843,1,
2,Short or lapsed explorer,recent3_median_gap,3,False,-0.0007956779174766116,0,
2,Short or lapsed explorer,recent3_median_gap,5,True,-0.0012140995617329286,2,
2,Short or lapsed explorer,recent3_median_gap,5,False,-0.0014713717616866018,1,
2,Short or lapsed explorer,recent3_median_gap,7,True,-0.0022301975177927537,2,
2,Short or lapsed explorer,recent3_median_gap,7,False,-0.002813972677920751,1,
2,Short or lapsed explorer,recent3_median_gap,10,True,-0.0030584634509374766,2,
2,Short or lapsed explorer,recent3_median_gap,10,False,-0.0055679661304675054,0,
2,Short or lapsed explorer,calendar_dom,0,True,-0.00526744309691386,1,
2,Short or lapsed explorer,calendar_dom,0,False,-0.00453264508963439,0,
